Generation,Train Accuracy,Validation Accuracy,Fitness,Topology
13,0.256381,0.0268118,48.1036,1375 748 1919 1 
13,0.274994,0.0816699,169.836,1375 746 812 1 
13,0.422568,0.137274,494.604,1375 799 95 1 
13,0.344017,0.0804098,228.837,1375 260 1779 1 
13,0.369695,0.0770307,254.567,1375 260 974 1 
13,0.288206,0.0614532,134.719,1375 680 1523 1 
13,0.489392,0.114841,517.324,1375 680 1 
13,0.272794,0.126223,278.722,1375 738 1 
13,0.318313,0.0768462,203.036,1375 799 394 1 
14,0.410762,0.124808,439.981,1375 799 1 
14,0.443574,0.0986566,409.552,1375 260 1 
14,0.491805,0.115527,523.054,1375 680 1 
14,0.405137,0.0860337,321.1,1375 799 1 
14,0.391719,0.113647,381.129,1375 799 95 1 
14,0.404502,0.105471,375.648,1375 680 1 
14,0.438926,0.0957321,388.88,1375 799 1 
14,0.463515,0.0988112,430.123,1375 748 1 
14,0.411817,0.120071,427.387,1375 748 1 
14,0.446537,0.122567,482.334,1375 699 1 
14,0.413142,0.145872,511.07,1375 753 1 
14,0.444791,0.152015,578.153,1375 748 1 
14,0.303333,0.0939668,221.162,1375 799 95 977 1 
14,0.251412,0.0704948,127.935,1375 799 708 1 
14,0.489289,0.130138,569.119,1375 680 1 
14,0.268923,0.081193,172.177,1375 680 7 1 
14,0.307935,0.107486,251.914,1375 799 95 1772 1 
14,0.478972,0.125113,536.027,1375 748 1 
14,0.408419,0.11542,408.968,1375 748 1 
14,0.407545,0.123801,438.832,1375 260 1 
15,0.434296,0.12769,481.406,1375 748 1 
15,0.454889,0.114388,467.853,1375 680 1 
15,0.409975,0.0950432,352.006,1375 748 1 
15,0.490139,0.126285,557.073,1375 680 1 
15,0.419272,0.117747,429.991,1375 753 1 
15,0.496989,0.110392,513.16,1375 699 1 
15,0.427057,0.0844003,342.23,1375 799 1 
15,0.413994,0.101636,381.212,1375 260 1 
15,0.2988,0.067811,157.866,1375 680 1371 1 
15,0.448013,0.119224,474.507,1375 622 1 
15,0.349124,0.102279,295.603,1375 748 538 1 
15,0.337681,0.0806089,234.538,1375 699 115 1 
15,0.294853,0.0526146,124.193,1375 748 1337 1 
15,0.4235,0.117168,433.819,1375 748 1 
15,0.34189,0.0858998,234.101,1375 748 1990 1 
15,0.327396,0.0860615,236.317,1375 680 198 1 
15,0.444147,0.0956192,396.436,1375 677 1 
15,0.389987,0.121992,405.227,1375 699 29 1 
15,0.307932,0.05061,134.816,1375 680 979 1 
15,0.356908,0.0796574,253.478,1375 670 1 
