Epoch: 136	,Training loss (MRSE): 0.701213	,Validation loss (MRSE): 0.806018	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46197e+07	,Training accuracy (MRAE): 0.218953	,Validation accuracy (MRAE): 0.138609
Epoch: 138	,Training loss (MRSE): 0.701892	,Validation loss (MRSE): 0.80636	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.219287	,Validation accuracy (MRAE): 0.138667
Epoch: 140	,Training loss (MRSE): 0.701212	,Validation loss (MRSE): 0.806017	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46197e+07	,Training accuracy (MRAE): 0.218952	,Validation accuracy (MRAE): 0.138608
Epoch: 142	,Training loss (MRSE): 0.702707	,Validation loss (MRSE): 0.806769	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46207e+07	,Training accuracy (MRAE): 0.218466	,Validation accuracy (MRAE): 0.13845
Epoch: 144	,Training loss (MRSE): 0.701464	,Validation loss (MRSE): 0.806145	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46198e+07	,Training accuracy (MRAE): 0.219068	,Validation accuracy (MRAE): 0.138624
Epoch: 146	,Training loss (MRSE): 0.702482	,Validation loss (MRSE): 0.806656	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46206e+07	,Training accuracy (MRAE): 0.218778	,Validation accuracy (MRAE): 0.13852
Epoch: 148	,Training loss (MRSE): 0.701741	,Validation loss (MRSE): 0.806284	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219206	,Validation accuracy (MRAE): 0.138649
Epoch: 150	,Training loss (MRSE): 0.70264	,Validation loss (MRSE): 0.806735	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46207e+07	,Training accuracy (MRAE): 0.21856	,Validation accuracy (MRAE): 0.138471
Epoch: 152	,Training loss (MRSE): 0.701848	,Validation loss (MRSE): 0.806338	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.219262	,Validation accuracy (MRAE): 0.138661
Epoch: 154	,Training loss (MRSE): 0.70211	,Validation loss (MRSE): 0.80647	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219262	,Validation accuracy (MRAE): 0.13865
Epoch: 156	,Training loss (MRSE): 0.701955	,Validation loss (MRSE): 0.806392	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.219319	,Validation accuracy (MRAE): 0.138674
Epoch: 158	,Training loss (MRSE): 0.701407	,Validation loss (MRSE): 0.806116	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46198e+07	,Training accuracy (MRAE): 0.21904	,Validation accuracy (MRAE): 0.138618
Epoch: 160	,Training loss (MRSE): 0.700951	,Validation loss (MRSE): 0.805886	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46195e+07	,Training accuracy (MRAE): 0.21884	,Validation accuracy (MRAE): 0.138599
Epoch: 162	,Training loss (MRSE): 0.701285	,Validation loss (MRSE): 0.806055	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46197e+07	,Training accuracy (MRAE): 0.218983	,Validation accuracy (MRAE): 0.13861
Epoch: 164	,Training loss (MRSE): 0.70187	,Validation loss (MRSE): 0.80635	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.219272	,Validation accuracy (MRAE): 0.138662
Epoch: 166	,Training loss (MRSE): 0.701835	,Validation loss (MRSE): 0.806332	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.219254	,Validation accuracy (MRAE): 0.138658
Epoch: 168	,Training loss (MRSE): 0.702377	,Validation loss (MRSE): 0.806604	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218929	,Validation accuracy (MRAE): 0.138556
