Epoch: 58	,Training loss (MRSE): 0.702945	,Validation loss (MRSE): 0.806902	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46209e+07	,Training accuracy (MRAE): 0.218074	,Validation accuracy (MRAE): 0.138383
Epoch: 60	,Training loss (MRSE): 0.702473	,Validation loss (MRSE): 0.806666	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46206e+07	,Training accuracy (MRAE): 0.218778	,Validation accuracy (MRAE): 0.138522
Epoch: 62	,Training loss (MRSE): 0.70232	,Validation loss (MRSE): 0.806589	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218983	,Validation accuracy (MRAE): 0.138573
Epoch: 64	,Training loss (MRSE): 0.70292	,Validation loss (MRSE): 0.806889	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46209e+07	,Training accuracy (MRAE): 0.218116	,Validation accuracy (MRAE): 0.13839
Epoch: 66	,Training loss (MRSE): 0.701706	,Validation loss (MRSE): 0.80628	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219213	,Validation accuracy (MRAE): 0.138654
Epoch: 68	,Training loss (MRSE): 0.701587	,Validation loss (MRSE): 0.806221	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219153	,Validation accuracy (MRAE): 0.138642
Epoch: 70	,Training loss (MRSE): 0.70124	,Validation loss (MRSE): 0.806045	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46197e+07	,Training accuracy (MRAE): 0.218988	,Validation accuracy (MRAE): 0.138616
Epoch: 72	,Training loss (MRSE): 0.701332	,Validation loss (MRSE): 0.806092	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46198e+07	,Training accuracy (MRAE): 0.219029	,Validation accuracy (MRAE): 0.138622
Epoch: 74	,Training loss (MRSE): 0.703413	,Validation loss (MRSE): 0.807136	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46212e+07	,Training accuracy (MRAE): 0.217294	,Validation accuracy (MRAE): 0.138114
Epoch: 76	,Training loss (MRSE): 0.702376	,Validation loss (MRSE): 0.806617	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218913	,Validation accuracy (MRAE): 0.138554
